edition      centre       date         dataType     gridType     stepRange    typeOfLevel  level        shortName    packingType  
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            unknown      261          layth        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGroundLayer  0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            atmosphere   0            unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            lsm          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            ci           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            nominalTop   0            SBT123       grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            nominalTop   0            SBT124       grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            nominalTop   0            SBT113       grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            nominalTop   0            SBT114       grid_complex_spatial_differencing 
170 of 170 messages in hrrr.t06z.wrfsfcf00.grib2
